name,org,email,industry,profile,notes
,CAMBA,info@camba.org,community org,nonprofit,Social services in housing education and workforce
,Good Shepherd Services,info@goodshepherds.org,youth programs,nonprofit,Child welfare and youth development in NYC
,New Settlement,info@newsettlement.org,community org,nonprofit,Education housing and community organizing in the Bronx
,Robin Hood Foundation,info@robinhood.org,community org,nonprofit,Poverty-fighting grantmaking across NYC
,Goddard Riverside,info@goddard.org,community org,nonprofit,Social services on the Upper West Side and across NYC
,Sauti Yetu Center for African Women,info@sautiyetu.org,women's shelter,nonprofit,Support for African women and girls in the Bronx
,Coalition for the Homeless NYC,info@cfthomeless.org,housing,nonprofit,Advocacy and direct services for homeless New Yorkers
,Girls Who Code,info@girlswhocode.com,education nonprofit,nonprofit,Closing the gender gap in tech through education
,United Way of New York City,info@unitedwaynyc.org,community org,nonprofit,Regional United Way chapter for NYC
,Youth Communication,info@youthcomm.org,youth programs,nonprofit,Media and writing programs for teens in NYC
,Literacy Partners,info@literacypartners.org,education nonprofit,nonprofit,Adult literacy and family education
,Para Los Ninos,info@paralosninos.org,youth programs,nonprofit,Early education and child welfare in LA
,Harmony Project,info@harmony-project.org,arts nonprofits,nonprofit,Music education for youth in under-resourced communities
,Youth Emerging Stronger (YES),info@youthemergingstronger.org,youth programs,nonprofit,Housing education and services for homeless and at-risk youth
,Bresee Foundation,info@bresee.org,community org,nonprofit,Youth and family empowerment battling poverty in LA
,L.A. Works,info@laworks.com,community org,nonprofit,Volunteer mobilization and community service projects
,Latino Coalition of Los Angeles,latinocoalitionlapresident@gmail.com,civic org,nonprofit,Civic engagement and advocacy for Latino communities
,Inner City Arts,info@inner-cityarts.org,arts nonprofits,nonprofit,Visual and performing arts for underserved youth in Skid Row
,PATH (People Assisting the Homeless),info@epath.org,housing,nonprofit,Comprehensive homelessness services across California
,Coalition for Responsible Community Development (CRCD),info@coalitionrcd.org,community org,nonprofit,Economic and community development in South LA
,California Community Foundation,info@calfund.org,community org,nonprofit,Philanthropy and civic engagement across Greater LA
,United Way of Greater Los Angeles,info@unitedwayla.org,community org,nonprofit,Regional United Way chapter
,Dress for Success Los Angeles,losangeles@dressforsuccess.org,women's shelter,nonprofit,Professional clothing and career support for women
,The PLUS ME Project,info@plusmeproject.org,youth programs,nonprofit,Storytelling and youth voice programs in LA schools
,SOVA Community Food and Resource Program,info@sovaprogram.org,food bank,nonprofit,Food and social services for vulnerable LA residents
,AMA Orlando,info@amaorlando.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,AMA Tampa Bay,info@amatampabay.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Miami,info@amamiami.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Atlanta,president@ama-atlanta.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Charlotte,info@amacharlotte.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Nashville,info@amanashville.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Houston,info@amahouston.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,AMA Dallas,info@amadallas.org,Marketing Association,paused_speaker,AMA chapter - creator economy speaker
,AMA Chicago,info@amachicago.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,AMA New York,info@amany.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,AMA DC,info@amadc.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,AMA Los Angeles,info@amala.org,Marketing Association,speaker,AMA chapter - creator economy speaker
,FPRA Orlando,info@fpraorlando.org,PR Association,speaker,FPRA chapter - communications speaker
,PRSA Orlando,info@prsaorlando.org,PR Association,speaker,PRSA chapter - communications speaker
,PRSA Tampa,info@prsatampa.org,PR Association,speaker,PRSA chapter - communications speaker
,PRSA Atlanta,info@prsaatlanta.org,PR Association,speaker,PRSA chapter - communications speaker
,Leadership Orlando,info@leadershiporlando.org,Leadership Program,speaker,Leadership program - personal brand / resilience speaker
,Leadership Florida,info@leadershipflorida.org,Leadership Program,speaker,Statewide leadership program
Karen Kurta,NAWBO Orlando,karen@nawboorlando.org,Women's Organization,speaker,NAWBO president - confirmed email
,National Coalition 100 Black Women Orlando,info@nc100bwoc.org,Women's Organization,speaker,100 Black Women Orlando chapter
,Zonta Club of Orlando,info@zontaorlando.org,Women's Organization,speaker,Zonta women's org - leadership speaker
,Junior League of Greater Orlando,president@jlglo.org,Women's Organization,speaker,Junior League - women's leadership speaker
,Junior League of Tampa,president@jltampa.org,Women's Organization,speaker,Junior League - women's leadership speaker
,Junior League of Miami,info@jlmiami.org,Women's Organization,speaker,Junior League - women's leadership speaker
,Junior League of Atlanta,info@jlatlanta.org,Women's Organization,speaker,Junior League - women's leadership speaker
,Black Girl Ventures,info@blackgirlventures.org,Entrepreneurship,paused_speaker,BGV - entrepreneurship and creator speaker
,digitalundivided,info@digitalundivided.com,Entrepreneurship,paused_speaker,DU - women of color tech and creator speaker
,SHE Media / BlogHer,speakers@shemedia.com,Creator Conference,creator,BlogHer/SHE Media creator conference
,Social Media Week,speakers@socialmediaweek.org,Creator Conference,creator,SMW speaker submissions
,Black Influencer Weekend,info@blackinfluencerweekend.com,Creator Conference,paused_speaker,BIW creator conference Atlanta
,Beautycon,info@beautycon.com,Creator Conference,paused_speaker,Beauty creator conference
,Create & Cultivate,hello@createandcultivate.com,Creator Conference,paused_speaker,C&C women entrepreneur and creator conference
,Afrotech,speakers@afrotech.com,Tech Conference,creator,AfroTech - creator economy and personal brand
,ESSENCE Festival,info@essence.com,Cultural Conference,paused_speaker,ESSENCE Fest - speaker opportunity
,Mom 2.0 Summit,info@mom2summit.com,Creator Conference,paused_speaker,Mom 2.0 influencer summit
,FinCon,info@finconexpo.com,Creator Conference,paused_speaker,FinCon creator and personal brand speaker
,Podcast Movement,info@podcastmovement.com,Creator Conference,paused_speaker,Podcast Movement - creator and personal brand speaker
,Mielle Organics,pr@mielleorganics.com,Beauty,paused_brand,Natural hair care - holiday event partnership
,PATTERN Beauty,hello@patternbeauty.com,Beauty,paused_brand,Tracee Ellis Ross brand - creator events
,Briogeo Hair Care,info@briogeohair.com,Beauty,paused_brand,Clean hair care - influencer events
,Curlsmith,hello@curlsmith.com,Beauty,paused_brand,Curl care brand - creator partnerships
,UOMA Beauty,hello@uomabeauty.com,Beauty,paused_brand,Inclusive beauty - holiday event
,Juvia's Place,info@juviasplace.com,Beauty,paused_brand,Pigmented makeup - creator events
,Fenty Beauty at Ulta,influencer@ultabeauty.com,Beauty,paused_brand,Ulta influencer program - holiday event
,NYX Professional Makeup,influencer@nyxcosmetics.com,Beauty,paused_brand,Drug store beauty - Orlando creator event
,Carol's Daughter,carolsdaughter@loreal.com,Beauty,paused_brand,Natural beauty - influencer partnership
,Torrid,influencer@torrid.com,Fashion,paused_brand,Plus-size fashion - holiday event Orlando
,Eloquii,pr@eloquii.com,Fashion,paused_brand,Plus-size fashion - creator event partnership
,Universal Standard,hello@universalstandard.com,Fashion,paused_brand,Size-inclusive fashion - holiday event
,Good American,press@goodamerican.com,Fashion,paused_brand,Size-inclusive denim - creator event
,Nuuly,press@nuuly.com,Fashion,paused_brand,Clothing rental - influencer events
,Poppi,hello@drinkpoppi.com,Food Beverage,paused_brand,Prebiotic soda - creator event sponsor
,Olipop,hello@drinkolipop.com,Food Beverage,paused_brand,Functional soda - holiday event sponsor
,Siete Foods,hello@sietefamilyfoods.com,Food Beverage,paused_brand,Better-for-you snacks - creator events
,Partake Foods,hello@partakefoods.com,Food Beverage,paused_brand,Allergy-friendly snacks - event sponsor
,Jeni's Splendid Ice Creams,hello@jenis.com,Food Beverage,paused_brand,Artisan ice cream - holiday event
,Golde,hello@golde.co,Wellness,paused_brand,Wellness brand - creator event sponsor
,Therabody,influencer@therabody.com,Wellness,paused_brand,Recovery tech - influencer event
,Brooklinen,press@brooklinen.com,Lifestyle,paused_brand,Home brand - holiday creator event
,Ceremonia,hello@ceremonia.com,Beauty,paused_brand,Latina-owned hair care - creator events
,Sonder,partnerships@sonder.com,Hospitality,paused_brand,Boutique hotel brand - event venue partner
,Graduate Hotels,press@graduatehotels.com,Hospitality,paused_brand,Boutique hotels - holiday event venue
,Selina Hotels,partnerships@selina.com,Hospitality,paused_brand,Boutique hotels - influencer event partner
,The Godfrey Hotel Orlando,sales@godfreyorlando.com,Hospitality,paused_brand,Orlando boutique hotel - local event partner
,Morphe,influencer@morphe.com,Beauty,paused_brand,Makeup brand - holiday creator event
,BH Cosmetics,pr@bhcosmetics.com,Beauty,paused_brand,Inclusive makeup - Orlando creator event
,Chromat,hello@chromat.co,Fashion,paused_brand,Body-positive swimwear - creator events
Paige Nasis,OLIPOP,paige.nasis@drinkolipop.com,Food Beverage,paused_brand,Director Influencer Marketing - functional soda - holiday event sponsor Orlando
Emmerson Allen,Poppi,emmerson.allen@drinkpoppi.com,Food Beverage,paused_brand,Sr Manager Influencer Relations - prebiotic soda - creator event sponsor
Brianni Gonzalez,Torrid,bgonzalez@torrid.com,Fashion,brand,Influencer Marketing Specialist - plus-size fashion - holiday event Orlando
Selina Davis,Mielle Organics,selina.davis@us.pg.com,Beauty,paused_brand,Sr Experiential Marketing Manager - natural hair care - holiday event partnership
Cathy Kemp,NYX Professional Makeup,cathy.kemp@nyxcosmetics.com,Beauty,brand,Director Influencer and Advocacy - drugstore beauty - Orlando creator event
Connie Robinson,ELOQUII,connie.robinson@fullbeauty.com,Fashion,paused_brand,Sr Manager Brand Partnerships - plus-size fashion - creator event partnership
Amiya McCargo,Carol's Daughter,amiya.mccargo@loreal.com,Beauty,paused_brand,Social Media and Influencer Manager - natural beauty - influencer partnership
Paige Nasis,OLIPOP,pnasis@drinkolipop.com,Food Beverage,brand,Director Influencer Marketing - functional soda - holiday event sponsor Orlando
Emmerson Allen,Poppi,eallen@drinkpoppi.com,Food Beverage,brand,Sr Manager Influencer Relations - prebiotic soda - creator event sponsor
Connie Robinson,ELOQUII,CRobinson@fbbrands.com,Fashion,brand,Sr Manager Brand Partnerships - plus-size fashion - creator event partnership
Amiya McCargo,Carol's Daughter,amccargo@carolsdaughter.com,Beauty,brand,Social Media and Influencer Manager - natural beauty - influencer partnership
Selina Davis,Mielle Organics,selina.s.davis@pg.com,Beauty,brand,Sr Experiential Marketing Manager - natural hair care - holiday event partnership
Bonnie St. John,Association of Women's Business Centers,info@awbc.org,Conference,speaker,AWBC Leadership Conference Denver Sept 2026 - speaker submissions
,LA County Women's Leadership Conference,womenleadership@hr.lacounty.gov,Conference,speaker,LA County Women's Leadership Conference Sept 2026 - government event
,Speakers.com,info@speakers.com,Speaker Bureau,paused_speaker,Full-service speaker bureau - pitch Danni for women leadership events
,Howard University School of Communications,soc@howard.edu,University,creator,Howard HBCU - journalism and media school - speaker on creator economy and representation
,Spelman College Department of English,english@spelman.edu,University,speaker,Spelman HBCU women's college - body image resilience and leadership speaker
,Clark Atlanta University Mass Media Arts,mma@cau.edu,University,creator,Clark Atlanta HBCU - mass media arts - creator economy and digital media speaker
,Morgan State University School of Global Journalism,journalism@morgan.edu,University,creator,Morgan State HBCU journalism school - media literacy and creator economy speaker
,National Coalition of 100 Black Women,ncbw@ncbw.org,Women's Org,speaker,NCBW national - leadership speaker on confidence and visibility
,Women's Business Enterprise National Council,info@wbenc.org,Women's Org,speaker,WBENC national - women entrepreneurs - personal brand and visibility speaker
Wendy McEwan,YWCA USA,wmcewan@ywca.org,Women's Org,speaker,YWCA national VP Programs - women's leadership and empowerment speaker
,Junior League of Greater Orlando,info@jlgo.org,Women's Org,speaker,Junior League Orlando - women's leadership and community speaker
,Junior League of Tampa,info@jltampa.org,Women's Org,speaker,Junior League Tampa - women's leadership and body confidence speaker
,Valencia College Communications,communications@valenciacollege.edu,University,creator,Valencia College Orlando - communication department - creator economy speaker
,Seminole State College Arts & Sciences,dean.artsandsciences@seminolestate.edu,University,speaker,Seminole State - prior Seminole Leadership Conference speaker - warm reconnect
Whitney Meyer,Jacksonville Jaguars Foundation,wmeyer@jaguars.com,Sports Foundation,speaker,SVP and Chief Community Impact Officer - Danni worked with Jaguars Foundation at Lutheran Social Services coordinating 500 refugees to their first game - warm reconnect speaker pitch
Scott Massey,Jacksonville Jaguars,smassey@jaguars.com,Sports,brand,SVP Corporate Partnerships - Jaguars coming to Orlando - pitch Danni as Orlando creator partner for community activation and brand partnership
